CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O
CC(C)C(O)(CC(=O)O)C(=O)O
NC(CCl)C(=O)O
N#Cc1cccnc1
O=C(O)C1=CC(=O)C(O)C(O)C1
O=C(O)C(=O)CC(O)C(O)C(O)COP(=O)(O)O
C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O)C(=O)O
O=C(O)C(=O)C[PH](=O)O
CC(O)(CC(=O)O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
C[N+](C)(C)CC(O)CC(=O)O
Nc1c(O)cccc1C(=O)O
CC(CO)C(=O)O
CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
Nc1c(O)cccc1C(=O)CC(N)C(=O)O
CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)CCC(=O)O
O=C(O)CCc1cccc(O)c1
C=CC1(O)CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12
O=C(O)CCC(=O)CC(=O)O
CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCC(=O)O
O=C(O)C(O)C(=O)C(O)C(O)CO
CC(=O)CC(=O)O
O=C1C(O)C(CO)OC(OC2C(CO)OC(O)C(O)C2O)C1O
O=C(O)C(=O)CS
CC(C)=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cc(C(=O)O)ccc1O
O=Cc1cccc(O)c1
OCc1cccc(O)c1
CC(CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C1CCC2C3C(O)CC4CC(=O)CCC4(C)C3CC(O)C12C
O=C(O)CC1=CCC(=O)O1
O=C(O)C(=O)COP(=O)(O)O
NC(COP(=O)(O)O)C(=O)O
O=C(O)CCc1ccccc1
O=C(O)Cc1cccnc1
NC(CS(=O)O)C(=O)O
O=C(O)C(=O)CS(=O)O
NC(=O)NCCC(=O)O
O=C(O)C(=O)C(O)COP(=O)([O-])O
O=C(O)C(=O)C(O)COP(=O)(O)O
O=C(O)CCCc1cccnc1
NC1COC(OP(=O)(O)O)C(O)C1O
C=C(OC1C=C(C(=O)O)C=CC1N)C(=O)O
Nc1nc[nH]c1C(=O)O
NCCCC=O
NCCCC(=O)O
O=C(O)C=C1C=CC(=O)O1
CC(O)(CO)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O
O=C(O)C=CC(=O)CC(=O)CC(=O)O
NC(=O)CCCN=C(N)N
CC(O)CC(=O)C(=O)O
OCc1ccc(O)cc1
O=Cc1ccc(O)cc1
O=C(O)Cc1ccc(O)cc1
O=C(O)CCC1N=CNC1=O
CC(C)CCC=O
O=C(O)CC(O)(CC(=O)C(=O)O)C(=O)O
CC(C)(COP(=O)(O)O)C(O)C(=O)NCCC(=O)O
CC(C)(COP(=O)(O)O)C(O)C(=O)NCCC(=O)NC(CS)C(=O)O
C[N+](C)(C)CCCC=O
C[N+](C)(C)CCCC(=O)O
O=C(O)c1ccc(O)cc1
NCC(=O)CCC(=O)O
NCCCCC(=O)O
CC(C)CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
CC(CO)CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
O=C1COC(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)C(O)C1O
CC1OC(n2cnc3c(N)ncnc32)C(O)C1O
NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O
O=C(O)C(=O)CC(O)C(O)C(=O)O
CSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
NC1OC(COP(=O)(O)O)C(O)C1O
O=CNCC(=O)NC1OC(COP(=O)(O)O)C(O)C1O
NCC(=O)NC1OC(COP(=O)(O)O)C(O)C1O
Nc1cncn1C1OC(COP(=O)(O)O)C(O)C1O
NC(CNC=O)=NC1OC(COP(=O)(O)O)C(O)C1O
NC(=O)Nc1nc[nH]c1C(=O)O
c1ncc2c(n1)NCCN2
O=C(O)C(O)C(O)C(O)C(=O)CO
CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O
CCCCCC(O)C=CC1C(O)CC2OC(=CCCCC(=O)O)CC21
CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O
NC1=NC2NCC(C(O)C(O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)=NC2C(=O)N1
CC1(C)SC2C(N)C(=O)N2C1C(=O)O
CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CCCCCC(=O)O
[N-]=[N+]=CC(=O)CCC(N)C(=O)O
N#[N+]C=C(O)CCC(N)C(=O)O
CC(=O)C(=O)C1CNC2N=C(N)NC(=O)C2N1
c1ncc2c(n1)=NCCN=2
O=P(O)(O)OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
CCCCCC=CCC(O)C=CC=CC=CC(O)CCCC(=O)O
CC(C)CCCC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C
CC(N)C(=O)CCCCCC(=O)O
OCCO
CC(=O)[O-]
CC(=O)O
CC=O
CC(N)=O
CC(=O)C(C)O
CC(C)=O
CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)OC(CO)C(O)C1O
CC(=O)NC1C(OC2C(CO)OC(OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C(NC(C)=O)C2O)OC(CO)C(O)C1O
CC(=O)NC1C(NC(=O)CC(N)C(=O)O)OC(CO)C(O)C1O
CC(=O)NC(CCC(=O)O)C(=O)O
CC(=O)OP(=O)(O)O
CC(=O)OCC[N+](C)(C)C
CC(=O)OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O
CC(=O)OCC(N)C(=O)O
Nc1ncnc2nc[nH]c12
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OCC2OC(O)C(O)C2O)C(O)C1O
Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC2OC(n3cnc4c(N)ncnc43)C(O)C2O)C(O)C1O
O=C(O)CC(Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O)C(=O)O
O=C(O)CCCCC(=O)O
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OC2OC(CO)C(O)C(O)C2O)C(O)C1O
NCCCCN=C(N)N
NC(=O)c1ncn(C2OC(COP(=O)(O)O)C(O)C2O)c1N
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O
NC(=O)NC(NC(N)=O)C(=O)O
NC(=O)NC1NC(=O)NC1=O
CC(O)C(N)C(=O)O
OCC1OC(O)C(O)C(O)C1O
NC(CCCC=O)C(=O)O
O=P(O)(O)OCC1OC(O)C(O)C(O)C1O
CC(=O)NC(CC(=O)NC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(OC4(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O4)C3O)C(O)C2NC(C)=O)C(O)C1NC(C)=O)C(N)=O
CC(=O)NC1C(O)OC(CO)C(OC2OC(COC3(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O3)C(O)C(O)C2O)C1O
Cc1cc2ncn(C3OC(CO)C(O)C3O)c2cc1C
Cc1cc2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2cc1C
CCCCCC(O)C=CC1OC2CC(O2)C1CC=CCCCC(=O)O
CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O
CC(=O)CN
Cc1ncc(COP(=O)(O)O)c(N)n1
Cc1ncc(COP(=O)(O)OP(=O)(O)O)c(N)n1
CC(=O)C(N)C(=O)O
CCOP(=S)(OCC)Oc1ccc(N)cc1
Nc1c(NCC(O)C(O)C(O)CO)[nH]c(=O)[nH]c1=O
N
[NH4+]
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O
NC(O)P
Nc1ccccc1C(=O)O
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OS(=O)(=O)O)C(O)C1O
OC1COC(O)C(O)C1O
O=CC(O)C(O)C(O)COP(=O)(O)O
CCCCCC=CCC=CCC=CCC=CCCCC(=O)O
NC(N)=NCCCC(N)C(=O)O
O=[As]([O-])([O-])O
O=[As](O)(O)O
NC(=O)CC(N)C(=O)O
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O
NCCC(=O)O
O=Cc1ccccc1
c1ccccc1
O=C([O-])c1ccccc1
O=C(O)c1ccccc1
OCc1ccccc1
CC(=O)NC1C(O)OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C1O
CC12CCC3C(CCC4CC(OS(=O)(=O)O)CCC43C)C1CCC2=O
C[N+](C)(C)CC(=O)[O-]
C[N+](C)(C)CC(=O)O
C[N+](C)(C)CC=O
C=CC1=C(C)C(=Cc2[nH]c(Cc3[nH]c(C=C4NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O
C=CC1=C(C)C(C=c2[nH]c(=Cc3[nH]c(C=C4NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)=NC1=O
O=C(O)CCCCC1SCC2NC(=O)NC21
Oc1cccc(-c2ccccc2)c1O
O=[N+]([O-])c1ccc(OP(=O)(O)Oc2ccc([N+](=O)[O-])cc2)cc1
CCCCCCCCCCCC(O)CC(=O)NC1C(OCC2OC(OP(=O)(O)O)C(NC(=O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C2O)OC(CO)C(O)C1OC(=O)CC(O)CCCCCCCCCCC
CCCCCCCCCCCC(O)CC(=O)NC1C(OP(=O)(O)O)OC(CO)C(O)C1OC(=O)CC(O)CCCCCCCCCCC
CN(CCC(N)CC(=O)NC1C=CC(n2ccc(N)nc2=O)OC1C(=O)O)C(=N)N
[Br-]
Br
CCCC=O
CC(O)C(C)O
CCCCO
CCCC(=O)O
CCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CCCC(=O)OP(=O)(O)O
CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)C1OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)NC(CCCC(N)C(=O)O)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(=O)O
CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)C1OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(C)C(=O)O
CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)OC(CO)C(O)C1OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)NC(CCCC(N)C(=O)O)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(=O)O
CC(=O)NC1C(OC2C(CO)OC(OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C(NC(C)=O)C2OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)NC(CCCC(N)C(=O)O)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(=O)O)OC(CO)C(O)C1O
[Ca+2]
NCCCCCN
Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O
NC(N)=NOCCC(N)C(=O)O
NC(=O)[O-]
NC(=O)O
NC(=O)OP(=O)(O)O
NC(=O)NC(CC(=O)O)C(=O)O
O=C=O
[C-]#[O+]
O=C(O)CCC1=CC=CC(O)C1O
O=C[O-]
O=CO
NOCC(=O)[O-]
NOCC(=O)O
O=C(O)c1ccccc1NCC(=O)C(O)C(O)COP(=O)(O)O
C[N+](C)(C)CC(O)CC(=O)[O-]
Oc1ccccc1O
Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1
C[N+](C)(C)CCOP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O
Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)n1
NCCOP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
CC(C=O)C(=O)O
C
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
O=C(O)CCl
Oc1ccc(O)c(Cl)c1
CC(CCC(=O)O)C1CCC2C3C(=O)CC4CC(O)CCC4(C)C3CC(O)C12C
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
C[N+](C)(C)CCO
C=C(OC1C=C(C(=O)O)C=CC1O)C(=O)O
O=CC=Cc1ccccc1
OCC=Cc1ccccc1
O=C(O)C=C(CC(=O)O)C(=O)O
O=C(O)C=CC=CC(=O)O
O=C(O)CC(O)(CC(=O)O)C(=O)O
[Cl-]
Cl
Nc1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)n1
Nc1ccn(C2OC(COP(=O)(O)OCC(O)C(O)C(O)C(O)CC(=O)C(=O)O)C(O)C2O)c(=O)n1
CC(=O)NC1C(O)CC(OP(=O)(O)OCC2OC(n3ccc(N)nc3=O)C(O)C2O)(C(=O)O)OC1C(O)C(O)CO
CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS
CC1=C2N=C(CC3=NC(C(C)C4=NC(C(CC(N)=O)C4(C)CCC(=O)NCC(C)O)C4(C)N=C1C(CCC(N)=O)C4(C)CC(N)=O)C(CCC(N)=O)C3(C)C)C(CCC(N)=O)C2(C)CC(N)=O.[Co]
CC1=C2N=C(CC3=NC(C(C)C4=NC(C(CC(N)=O)C4(C)CCC(=O)NCC(C)O)C4(C)N=C1C(CCC(N)=O)C4(C)CC(N)=O)C(CCC(N)=O)C3(C)C)C(CCC(N)=O)C2(C)CC(N)=O
OCC1OC(n2cnc3c2NC=NCC3O)C(O)C1O
Cc1c2[nH]c(c1CCC(=O)O)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(C)c1CCC(=O)O)C2
O=C(O)C=Cc1ccc(O)cc1
O=c1ccc2ccccc2o1
CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)C=Cc1ccc(O)cc1
CC(C)c1ccc(CO)cc1
CC(C)c1ccc(C=O)cc1
O=C(O)C(O)c1ccc(O)cc1
CSCC(O)C(O)C(=O)COP(=O)(O)O
CC(C)CCCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)CC1CC3
CC(N)CC(N)CC(=O)O
C=Cc1ccc(O)c(OC)c1
Nc1c(NCC(O)C(O)C(O)COP(=O)(O)O)[nH]c(=O)[nH]c1=O
CC(C)CCCC(C)C1CCC2C3C(O)CC4=CC(=O)CCC4(C)C3CCC12C
Cc1ccccc1O
NC(=O)NC(O)C(=O)O
CC(=O)C(O)C(O)CO
O=C(O)c1ccccc1O
NCCP(=O)(O)O
Cc1cccc(O)c1O
O=C(O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1
Cc1cccc(O)c1
O=P1(O)OC2C(O)C(O)C(O)C(O)C2O1
O=C1CC(O)C(O)C(O)C1=O
CC(C(=O)O)=C(CC(=O)O)C(=O)O
OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O
OCc1cccc(OC2OC(CO)C(O)C(O)C2O)c1
O=P(O)(O)OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O
O=C1C(O)C(O)OC(CO)C1O
CC(OP(=O)(O)O)C(NC(=O)CCCCCCS)C(=O)O
CC(OP(=O)(O)O)C(NC(=O)CCCCCCSSCCS(=O)(=O)O)C(=O)O
CC(OC(=O)C(N)CCC(=O)O)C(OC(=O)C(N)CCC(=O)O)C1=CNc2nc(N)nc(OC(=O)C(N)CCC(=O)O)c2N1
CC(OC(=O)C(N)CCC(=O)O)C(OC(=O)C(N)CCC(=O)O)C1=CNc2nc(N)nc(OC(=O)C(N)CCC(=O)O)c2N1C
O=C(O)CCC=CC(=O)C(=O)O
O=C(O)C(=O)c1ccc(O)cc1
CCCCCCCC
ClC1=CC(Cl)C(Cl)=CC1Cl
CC(N)CC(=O)CC(=O)O
Oc1cc(O)cc(O)c1
CCC(C)=CCCCC(C)CCOP(=O)(O)OC1OC(CO)C(O)C(O)C1O
O=C1C=C(O)CC(O)C1
OC1C=Cc2ccccc2C1O
NCC=O
NCC(N)C(=O)O
CCCCCC=CCC=CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(=O)Oc1ccc2c(C)cc(=O)oc2c1
NCCCCNCCCCN
O=C(O)c1cc(O)c(O)c(O)c1
O=C(O)C#CC(=O)O
O=C(O)c1cc(C(=O)O)oc(=O)c1
O=C(O)CC(=CC(=O)C(=O)O)C(=O)O
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCO
CC(=O)CC(O)CC(=O)O
CCC(C)=CCCCC(C)CCOP(=O)(O)OP(=O)(O)OC1OC(CO)C(O)C(O)C1NC(C)=O
O=[N+]([O-])c1ccc(OP(=O)(O)O)cc1
CCCCCCCC(=O)O
CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(=O)CC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)c1ccc(O)cc1
CC(CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
CCCC(NC(C)C(=O)O)C(=O)O
O=C(O)CCCCCC(=O)O
CC(C)CCCC(C)CCCC(C)CCCC(C)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)Cc1ccccc1
CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)C(=O)O
NCCCC(N)C(=O)O
O=C(O)C1OC(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)C(O)C(O)C1O
CCC(C)=CCCCC(C)CCOP(=O)(O)OP(=O)(O)O
NCCCC(N)CC(=O)O
O=C(O)C(O)C(=O)C(O)C(O)COP(=O)(O)O
CCC1=C(C(C)SCC(N)C(=O)NC)C2C=c3[nH]c(c(CCC(=O)O)c3C)=Cc3[nH]c(c(C)c3CCC(=O)O)C=c3[nH]c(c(C(C)SCC(N)C(=O)NC)c3C)=CC1=N2
NC(=O)Cc1c[nH]c2ccccc12
CC(C)[N+](=O)[O-]
O=C(O)C=CC(=CC(=O)O)C(=O)O
O=CNc1ccccc1C=O
NC1CONC1=O
S
Nc1ccc(O)cc1
NC(CCCCNO)C(=O)O
CC(C)CCCC(C)C1CCC2C3C(O)C=C4CC(O)CCC4(C)C3CCC12C
O=[PH]([O-])[O-]
O=[PH](O)O
CN1C(=O)CCC1c1cccnc1
C[N+]1([O-])CCCC1c1cccnc1
CN1CCCC1c1ccc[n+](C2OC(C(=O)O)C(O)C(O)C2O)c1
CN1C(=O)CCC1c1ccc[n+](C2OC(C(=O)O)C(O)C(O)C2O)c1
